budget,genre,name,score,year
unknown,comedy,airheads,6.1,1994
7000000,comedy,hesher,7.1,2010
unknown,comedy,playing for keeps,4.1,1986
80000000,drama,the manchurian candidate,6.6,2004
26000000,drama,splice: experimento mortal,5.8,2009
20000000,action,lockout,6.1,2012
25000000,comedy,parental guidance,6.1,2012
unknown,adventure,where the river runs black,6.6,1986
unknown,crime,juego a muerte,6.1,1992
unknown,comedy,beethoven,5.6,1992
11000000,comedy,freaked,6.3,1993
16000000,drama,power,5.7,1986
unknown,comedy,rosalie goes shopping,6.0,1989
23000000,animation,recess: school's out,6.6,2001
27000000,biography,how to lose friends & alienate people,6.5,2008
125000000,adventure,harry potter and the sorcerer's stone,7.5,2001
39000000,comedy,sgt. bilko,5.7,1996
15000000,comedy,the comedian,5.7,2016
60000000,adventure,meet dave,4.9,2008
10000000,action,rapid fire,6.3,1992
unknown,comedy,save the date,5.8,2012
unknown,drama,sister my sister,6.9,1994
20000000,sci-fi,asesinos cibernéticos,6.4,1995
15000000,biography,the danish girl,7.1,2015
unknown,comedy,miami rhapsody,5.4,1995
100000000,action,eraser,6.1,1996
unknown,comedy,three of hearts,5.5,1993
35000000,action,lethal weapon 3,6.7,1992
24000000,action,faster,6.5,2010
unknown,comedy,splendor,5.9,1999
unknown,drama,the cutting edge,6.9,1992
45000000,drama,the ghost writer,7.2,2010
52000000,drama,the thin red line,7.6,1998
130000000,action,fantastic 4: rise of the silver surfer,5.6,2007
9000000,action,12 horas para sobrevivir,6.5,2014
27000000,comedy,martian child,6.8,2007
9000000,horror,black christmas,4.6,2006
21000000,comedy,synecdoche new york,7.5,2008
unknown,drama,el espía que sabía demasiado,7.1,2011
40000000,comedy,a million ways to die in the west,6.1,2014
unknown,drama,betty blue,7.4,1986
20000000,comedy,17 again,6.4,2009
70000000,action,the guardian,6.9,2006
unknown,comedy,big girls don't cry... they get even,6.5,1992
4000000,biography,orlando,7.2,1992
80000000,drama,message in a bottle,6.2,1999
3000000,crime,the deep end,6.7,2001
unknown,drama,the keeping room,6.0,2014
55000000,action,the forbidden kingdom,6.6,2008
21000000,biography,escritores de la libertad,7.5,2007
unknown,comedy,john dies at the end,6.4,2012
25000000,comedy,dan in real life,6.8,2007
unknown,comedy,the magic of belle isle,7.0,2012
79000000,action,journey 2: the mysterious island,5.8,2012
6000000,comedy,man's best friend,5.1,1993
2000000,horror,it follows,6.9,2014
65000000,drama,autumn in new york,5.5,2000
unknown,drama,diabolique,5.3,1996
6500000,crime,boyz n the hood,7.8,1991
unknown,comedy,chalet girl,6.3,2011
48000000,comedy,practical magic,6.2,1998
70000000,drama,lady in the water,5.6,2006
14000000,comedy,playing by heart,7.2,1998
unknown,biography,becoming colette,5.4,1991
245000000,action,spectre,6.8,2015
30000000,adventure,letters to juliet,6.6,2010
unknown,action,brotherhood of the wolf,7.1,2001
30000000,action,vampire academy,5.6,2014
15000000,drama,house of sand and fog,7.6,2003
4000000,drama,monster's ball,7.1,2001
6000000,drama,blue velvet,7.8,1986
110000000,action,tomorrow never dies,6.5,1997
30000000,comedy,muertos de miedo,7.1,1996
35000000,comedy,neighbors 2: sorority rising,5.7,2016
95000000,action,lara croft tomb raider: the cradle of life,5.5,2003
unknown,romance,firelight,7.3,1997
90000000,comedy,the haunted mansion,4.9,2003
unknown,animation,summer wars,7.6,2009
unknown,action,suburban commando,4.3,1991
unknown,drama,graffiti bridge,4.3,1990
14000000,comedy,head over heels,5.4,2001
100000000,adventure,mission to mars,5.6,2000
60000000,comedy,alfie,6.2,2004
27000000,action,spy kids 4: all the time in the world,3.6,2011
22000000,action,robocop 3,4.0,1993
12000000,biography,modigliani,7.4,2004
20000000,comedy,the waterboy,6.1,1998
25000000,crime,bajo sospecha,6.5,2000
1000000,comedy,the broken hearts club: a romantic comedy,7.0,2000
unknown,comedy,the tall guy,6.2,1989
unknown,comedy,breaking up,4.9,1997
unknown,drama,the belly of an architect,7.0,1987
unknown,action,hero and the terror,5.2,1988
unknown,comedy,queens logic,5.9,1991
unknown,drama,flesh and bone,6.2,1993
unknown,crime,kansas,5.4,1988
unknown,crime,five corners,6.3,1987
20000000,comedy,man of the year,6.2,2006
unknown,horror,the human centipede (first sequence),4.4,2009
unknown,horror,the last days on mars,5.5,2013
unknown,comedy,boyfriends and girlfriends,7.7,1987
18000000,comedy,my big fat greek wedding 2,6.0,2016
unknown,action,fearless,7.7,2006
10000000,action,the purge: election year,6.0,2016
48000000,comedy,kate & leopold,6.4,2001
3000000,horror,halloween 5,5.2,1989
150000000,animation,chicken little,5.8,2005
unknown,war,the beast of war,7.4,1988
81000000,comedy,bruce almighty,6.7,2003
unknown,crime,gozu,7.1,2003
103000000,comedy,the hangover part iii,5.9,2013
unknown,comedy,miss you already,6.8,2015
3000000,action,lionheart,6.1,1990
unknown,crime,a guide to recognizing your saints,7.0,2006
unknown,crime,a stranger among us,5.7,1992
unknown,comedy,waxwork,6.2,1988
35000000,comedy,what about bob?,7.0,1991
unknown,romance,the two faces of january,6.2,2014
6000000,comedy,mystic pizza,6.2,1988
12000000,horror,stir of echoes,7.0,1999
13000000,crime,phone booth,7.1,2002
unknown,comedy,outrageous fortune,6.1,1987
unknown,action,rooftops,4.6,1989
60000000,animation,shrek,7.9,2001
175000000,animation,inside out,8.2,2015
22000000,crime,summer of sam,6.6,1999
unknown,drama,three colors: blue,8.0,1993
30000000,comedy,bulworth,6.8,1998
15000000,comedy,rock the kasbah,5.5,2015
unknown,action,undead,5.5,2003
33000000,action,nick of time,6.3,1995
17000000,comedy,while you were sleeping,6.7,1995
30000000,comedy,father of the bride part ii,5.9,1995
3500000,comedy,the bronze,6.0,2015
35000000,adventure,más allá de las fronteras,6.5,2003
19200000,adventure,squanto: a warrior's tale,6.1,1994
76000000,animation,the adventures of rocky & bullwinkle,4.2,2000
unknown,comedy,beautiful girls,7.2,1996
120000000,action,speed racer,6.0,2008
65000000,crime,sin city: a dame to kill for,6.5,2014
unknown,comedy,barely legal,4.8,2003
1500000,horror,stepfather ii,5.6,1989
unknown,action,wasabi,6.6,2001
23000000,biography,the last emperor,7.8,1987
34000000,adventure,old gringo,5.8,1989
12000000,crime,hell or high water,7.6,2016
38000000,horror,the thing,6.2,2011
19000000,thriller,firestorm,4.6,1998
unknown,comedy,one crazy summer,6.4,1986
175000000,animation,monsters vs. aliens,6.5,2009
30000000,comedy,alex & emma,5.6,2003
unknown,horror,tetsuo ii: body hammer,6.4,1992
unknown,comedy,gordy,3.9,1995
250000,crime,better luck tomorrow,7.2,2002
1100000,action,maniac cop,6.0,1988
60000000,adventure,cheaper by the dozen 2,5.5,2005
11000000,drama,kafka,6.9,1991
15000000,horror,halloween,6.1,2007
55000000,action,beverly hills cop iii,5.5,1994
55000000,action,george of the jungle,5.4,1997
unknown,crime,q & a,6.5,1990
unknown,drama,the browning version,7.3,1994
unknown,action,secretos peligrosos,7.2,2010
unknown,drama,morning glory,6.6,1993
unknown,comedy,rita sue and bob too,6.4,1987
10000000,horror,vanishing on 7th street,4.9,2010
62000000,action,u-571: la batalla del atlántico,6.6,2000
8000000,drama,the trigger effect,5.7,1996
85000000,action,air force one,6.5,1997
6000000,comedy,movie 43,4.3,2013
13000000,comedy,wise guys,5.6,1986
unknown,comedy,the freshman,6.5,1990
unknown,comedy,beaches,6.8,1988
unknown,drama,the girl in the book,6.2,2015
unknown,comedy,the moderns,6.7,1988
unknown,drama,breathe in,6.4,2013
unknown,crime,the rosary murders,5.7,1987
20000000,comedy,little giants,6.3,1994
unknown,crime,irreversible,7.4,2002
15000000,comedy,mighty aphrodite,7.1,1995
9000000,adventure,harold & kumar go to white castle,7.1,2004
unknown,crime,needful things,6.2,1993
unknown,comedy,the three stooges,5.1,2012
unknown,drama,shout,5.0,1991
25000000,comedy,little white lies,7.1,2010
75000000,comedy,forces of nature,5.4,1999
40000000,action,torque,4.0,2004
40000000,biography,girl interrupted,7.4,1999
unknown,comedy,girl asleep,6.2,2015
unknown,drama,el libro de cabecera,6.7,1996
55000000,animation,the pirates! band of misfits,6.7,2012
unknown,crime,dream lover,5.1,1986
40000000,action,el especialista: la resurrección,5.6,2016
unknown,action,jake speed,5.3,1986
50000000,action,the adventures of sharkboy and lavagirl 3-d,3.5,2005
unknown,family,the amazing panda adventure,5.8,1995
75000000,action,maverick,7.0,1994
unknown,comedy,lightning jack,5.4,1994
3000000,comedy,tusk,5.4,2014
2000000,drama,the secret in their eyes,8.2,2009
unknown,comedy,los visitantes,7.0,1993
16000000,drama,the roommate,4.9,2011
1500000,horror,31,5.0,2016
12000000,comedy,baby geniuses,2.6,1999
unknown,comedy,housekeeping,7.3,1987
unknown,drama,jean de florette,8.1,1986
95000000,action,hollow man,5.7,2000
unknown,action,gladiator,6.4,1992
8000000,adventure,stand by me,8.1,1986
17000000,adventure,austin powers: international man of mystery,7.0,1997
12000000,comedy,the best of times,5.9,1986
unknown,drama,the great beauty,7.8,2013
14000000,comedy,critical condition,5.2,1987
16000000,action,highlander,7.2,1986
70000000,action,tears of the sun,6.6,2003
unknown,comedy,short cuts,7.7,1993
800000,drama,ruby in paradise,7.1,1993
150000000,action,star trek,8.0,2009
1200000,drama,you can count on me,7.7,2000
35000000,comedy,old dogs,5.4,2009
unknown,comedy,born in east l.a.,5.9,1987
unknown,drama,siesta,5.6,1987
unknown,comedy,my girl 2,5.2,1994
1000000,drama,camp x-ray,7.0,2014
22000000,comedy,deuce bigalow: european gigolo,4.6,2005
35000000,comedy,the wedding planner,5.2,2001
2500000,comedy,the lair of the white worm,5.9,1988
55000000,drama,flightplan,6.2,2005
25000000,comedy,mrs. doubtfire,6.9,1993
unknown,drama,hidden agenda,7.0,1990
unknown,comedy,to wong foo thanks for everything julie newmar,6.4,1995
unknown,comedy,mystery team,6.8,2009
18000000,crime,consenting adults,5.7,1992
13000000,horror,child's play 2,5.8,1990
unknown,comedy,my blue heaven,6.2,1990
15000000,drama,the woman in black 2: angel of death,4.9,2014
18000000,comedy,one night at mccool's,6.1,2001
4500000,crime,another day in paradise,6.5,1998
2000000,drama,courageous,7.0,2011
unknown,comedy,mad dog and glory,6.2,1993
unknown,comedy,greenberg,6.1,2010
20000000,animation,the jungle book 2,5.4,2003
12000000,comedy,six degrees of separation,6.9,1993
unknown,comedy,starter for 10,6.7,2006
unknown,drama,holy smoke,5.9,1999
35000000,action,flight of the intruder,5.7,1991
3000000,horror,la noche de la expiación,5.7,2013
4500000,drama,requiem for a dream,8.3,2000
14000000,adventure,white fang,6.7,1991
19000000,horror,friday the 13th,5.6,2009
10000000,mystery,the fourth kind,5.9,2009
65000000,action,red dawn,5.4,2012
unknown,adventure,the witches,6.8,1990
unknown,drama,wrestling ernest hemingway,7.1,1993
50000000,action,jumanji,6.9,1995
unknown,comedy,hurlyburly,5.8,1998
unknown,crime,black friday,8.6,2004
65000000,action,spy,7.0,2015
unknown,comedy,about adam,6.0,2000
32000000,comedy,jungle 2 jungle,5.1,1997
47000000,action,jonah hex,4.7,2010
unknown,biography,el asesino de john lennon,5.7,2007
25000000,comedy,no strings attached,6.2,2011
28000000,comedy,hocus pocus,6.7,1993
11000000,crime,blink,6.2,1993
200000000,action,2012,5.8,2009
15000000,comedy,the importance of being earnest,6.9,2002
unknown,comedy,la ciénaga,7.0,2001
4500000,comedy,critters 2,5.3,1988
15000000,drama,the craft,6.3,1996
unknown,drama,this is my life,6.0,1992
unknown,drama,guilty by suspicion,6.5,1991
unknown,drama,inventing the abbotts,6.4,1997
5000000,biography,party monster,6.3,2003
50000000,action,broken arrow,6.0,1996
unknown,drama,my life,6.8,1993
unknown,biography,henry & june,6.3,1990
145000000,animation,kung fu panda 3,7.1,2016
6000000,drama,the room,3.6,2003
unknown,comedy,5 to 7,7.1,2014
17500000,comedy,beerfest,6.3,2006
4000000,action,kill me again,6.3,1989
250000000,action,the dark knight rises,8.4,2012
120000000,action,charlie's angels: full throttle,4.8,2003
unknown,action,the red baron,6.4,2008
unknown,crime,monsieur hire,7.7,1989
10000000,comedy,sleepover,5.3,2004
42000000,adventure,super mario bros.,4.0,1993
4500000,action,the raid 2,8.0,2014
unknown,comedy,grumpy old men,6.9,1993
15000000,crime,a most wanted man,6.8,2014
unknown,drama,the seventh sign,5.9,1988
33000000,action,rush hour,6.9,1998
unknown,adventure,camp nowhere,5.9,1994
unknown,horror,pet,5.7,2016
35000000,action,rising sun,6.2,1993
33000000,action,the punisher,6.5,2004
unknown,drama,dog days,7.1,2001
200000000,animation,monsters university,7.3,2013
25000000,action,straw dogs,5.8,2011
10500000,drama,faraway so close!,7.3,1993
unknown,comedy,staying together,6.3,1989
unknown,comedy,can't buy me love,6.7,1987
52000000,comedy,valentine's day,5.7,2010
unknown,drama,boy a,7.7,2007
3800000,comedy,the hollars,6.5,2016
unknown,comedy,all i wanna do,6.7,1998
2000000,comedy,full frontal,4.8,2002
unknown,action,mr. nice guy,6.2,1997
137000000,action,hulk,5.7,2003
unknown,drama,paradise,6.7,1991
unknown,animation,strange magic,5.8,2015
26000000,comedy,fat albert,4.3,2004
unknown,crime,run lola run,7.7,1998
24000000,horror,i still know what you did last summer,4.6,1998
1200000,drama,sex lies and videotape,7.2,1989
unknown,drama,carried away,6.4,1996
25000000,comedy,honeymoon in vegas,5.8,1992
50000000,crime,jade,5.2,1995
unknown,drama,three wishes,6.2,1995
12000000,comedy,happy gilmore,7.0,1996
40000000,comedy,sex tape,5.1,2014
30000000,comedy,simon birch,6.9,1998
4000000,action,they live,7.3,1988
unknown,romance,for the moment,6.3,1993
unknown,comedy,fuerza mayor,7.3,2014
24000000,action,leonard part 6,2.2,1987
unknown,comedy,queen of hearts,6.9,1989
5000000,drama,90 minutes in heaven,4.7,2015
unknown,adventure,white water summer,6.2,1987
6000000,comedy,madea's family reunion,5.1,2006
4000000,drama,boyhood,7.9,2014
40000000,action,in time,6.7,2011
5500000,biography,claroscuro,7.7,1996
unknown,drama,true colors,6.3,1991
65000000,action,blue streak,6.3,1999
10000000,crime,dirty pretty things,7.4,2002
25000000,drama,el dador de recuerdos,6.5,2014
unknown,drama,torrents of spring,6.0,1989
unknown,adventure,homeward bound ii: lost in san francisco,5.9,1996
unknown,drama,parting glances,7.8,1986
unknown,crime,appointment with death,6.2,1988
15000000,action,predator,7.8,1987
25000000,action,kiss of the dragon,6.6,2001
13000000,biography,i saw the light,5.7,2015
3000000,crime,elephant,7.2,2003
35000000,action,star trek: generations,6.6,1994
13000000,action,child's play 3,5.0,1991
100000000,action,catwoman,3.3,2004
30000000,adventure,almost heroes,5.8,1998
85000000,action,last action hero,6.3,1993
30000000,action,doomsday,6.0,2008
unknown,drama,good kill,6.4,2014
68000000,crime,the score,6.8,2001
37000000,action,cop out,5.6,2010
49000000,action,chappie,6.9,2015
50000000,action,22 jump street,7.1,2014
1000000,comedy,two girls and a guy,5.6,1997
18000000,drama,the ice storm,7.5,1997
20000000,comedy,bad teacher,5.7,2011
unknown,adventure,homeward bound: the incredible journey,6.9,1993
unknown,comedy,bagdad cafe,7.5,1987
unknown,comedy,naked in new york,5.7,1993
unknown,drama,just between friends,5.9,1986
4000000,comedy,a haunted house 2,4.7,2014
14000000,biography,jefferson in paris,5.7,1995
60000000,action,deep blue sea,5.8,1999
80000000,comedy,edtv,6.1,1999
unknown,crime,relentless,5.9,1989
150000000,drama,i am legend,7.2,2007
20000000,drama,brideshead revisited,6.7,2008
unknown,drama,rapsodia en agosto,7.3,1991
45000000,action,curse of the golden flower,7.0,2006
25000000,drama,the age of adaline,7.2,2015
55000000,action,the hunted,6.0,2003
unknown,comedy,other people's money,6.1,1991
9000000,crime,the limey,7.1,1999
unknown,comedy,short circuit 2,5.6,1988
32000000,drama,final analysis,5.8,1992
unknown,drama,young & beautiful,6.8,2013
unknown,animation,we're back! a dinosaur's story,6.1,1993
unknown,drama,to sleep with anger,7.2,1990
7000000,biography,capote,7.4,2005
unknown,action,the hard way,6.3,1991
81200000,animation,el principito,7.8,2015
unknown,comedy,still breathing,6.9,1997
60000000,comedy,love affair,5.9,1994
unknown,action,blue steel,5.6,1989
90000000,action,rush hour 2,6.6,2001
19000000,action,from dusk till dawn,7.3,1996
90000000,action,the expendables 3,6.1,2014
16000000,drama,the unborn,4.8,2009
3000000,comedy,scenes from a mall,5.3,1991
unknown,fantasy,kull the conqueror,4.8,1997
unknown,biography,hunger,7.6,2008
30000000,biography,remember the titans,7.8,2000
unknown,drama,the choice,6.6,2016
unknown,drama,el imperio,7.0,2006
unknown,drama,morvern callar,6.8,2002
unknown,drama,lost and delirious,7.0,2001
8000000,action,turbo: a power rangers movie,3.5,1997
10000000,comedy,picture perfect,5.5,1997
unknown,thriller,frozen,6.2,2010
31000000,biography,chaplin,7.6,1992
40000000,action,one for the money,5.3,2012
35000000,comedy,down to you,4.9,2000
100000000,drama,constantine,6.9,2005
140000000,adventure,the bfg,6.4,2016
85000000,comedy,the holiday,6.9,2006
unknown,comedy,spread,5.9,2009
6000000,comedy,casa de mi padre,5.5,2012
22000000,action,masters of the universe,5.4,1987
120000000,comedy,how do you know,5.4,2010
225000000,action,man of steel,7.1,2013
unknown,comedy,shirley valentine,7.2,1989
10800000,horror,saw v,5.8,2008
unknown,action,the baader meinhof complex,7.4,2008
19000000,crime,crossing over,6.8,2009
100000000,adventure,donde viven los monstruos,6.8,2009
unknown,drama,detachment,7.7,2011
21000000,comedy,boys on the side,6.4,1995
10000000,action,f/x,6.7,1986
6000000,drama,mother night,7.2,1996
28000000,animation,the thief and the cobbler,7.1,1993
unknown,drama,romeo & juliet,5.8,2013
18000000,comedy,delirious,5.7,1991
27000000,comedy,city slickers,6.7,1991
10000000,comedy,rookie of the year,5.9,1993
unknown,adventure,harry potter and the deathly hallows: part 1,7.7,2010
180000000,adventure,the hobbit: an unexpected journey,7.9,2012
52000000,biography,catch me if you can,8.1,2002
80000000,action,a sound of thunder,4.2,2005
63000000,drama,fight club,8.8,1999
1300000,comedy,trees lounge,7.2,1996
