Sentence,Label
ancak verdigi degerler kucuk acilar disinda tutarli olmadigi icin kirilma kanununu elde edememistir.,1
bu evliliginden iki cocugu oldu.,1
bilissel davranisci terapide uyku bozuklugu tedavisinde kullanilabilir.,0
hayat stilinin degistirilmesi uykusuzluk tedavisinde ve onlenmesinde onemlidir.,1
pencere aralarinda on iki havari tasvir edilmistir.,1
bu donemde yeniden siir yayimlamaya basladi.,1
i̇ki cilt olarak tasarladigi bu eserin ikinci cildi yarim kalmistir.,1
i̇stanbul algisinin merkezindeki mekan ise suleymaniye camisi olmustur.,1
yine bu donemde eski siiri birakarak yeni siire gecis yapmistir.,1
bu nedenle toplama isleminde sayilar ayni basamaklar alt alta gelecek sekilde yapilir.,1
kircaali belediyesi ise iki dilde hizmet verir.,1
turkce bu hususta sondan eklemeli bir dildir ve dilde pek cok son ek kullanilmaktadir.,1
selim doneminde rastlanir.,1
kisaca cagdas baskentin ortaya cikmasi buyuk olcude ulusal devletlerin gelismesine denk duser.,1
chomsky bu cumleleri konusma ozgurlugu ile ilgili metinlerinde kullanmistir.,1
kucuk yaslarda edebiyat ve muzik alanlarindaki yetenegiyle dikkat cekti.,1
toronto universitesi fen bilimleri bolumunde yuksek tahsiline basladi.,1
nihayetinde sembolik yapay zeka yaklasimin limitleri gorundu.,1
ogrenme ve gelisim alanindaki arastirmalar bu sureclerin nasil gerceklestigini aciklamayi hedefler.,1
mars yuzeyinde gozlemledigi bu uzun dogrusal hatlara dunya’daki unlu nehirlerin adlarini verdi.,1
bu bolumdeki daglarin buyuk cogunlugunu siradaglar olusturmaktadir.,1
liginde birer takimi daha vardir.,1
ligindeki takimi tokat genclikspor’dur.,1
sirketinin adi sebebiyle jet fadil diyede bilinir.,0
oyle x ve y tam sayilari vardirki,0
normal gitara cok benzesede oldukca farkli bir ses rengine sahiptir.,0
bilgisayar uygulamalari sayesinde bilimsel hesaplama yontemleri gelismistir.,1
bu sistemlerin tasarimi ve gelistirilmeside bilisim biliminin arastirma alanina girer.,0
standart major dizi bu sekilde olusur.,1
aksi takdirde yaniltici sonuclar elde edilebilir.,1
girisimci karar verirken kendi cikarlarini goz onunde bulundurur.,1
mikro ekonomi ayni zamanda kaynaklarin rasyonel kullanimi ilede ilgilidir.,0
bu duzeydeki soyutlama geometri ile soyut cebir arasindaki derin baglantilari aciga cikarmistir.,1
modern matematigin en yuksek derecede soyut alanlari kategori teorisi ve model teorisidir.,1
ama einstein’in dini sevki uzun surmedi.,1
birkac grup bu cihazi muziklerinde kullaniyor.,1
aydinlanma cagi da buyuk olcude fransiz entelektuel cevrelerinde gerceklesti.,1
bu bolgelerde kislar ilik ve yazlar serin gecer.,1
ekonomi daima tam istihdam denge duzeyinde bulunmamaktadir.,1
ekonomide eksik istihdam ve atil kapasite vardir.,1
bu bolgede kislar cok sert ve yagisli gecer.,1
bu mevsimde az miktarda da olsa yagis gorulur.,1
ulkenin alcak bolgelerinde bulunan cayirlik alanlarda hayvancilik gelismistir.,1
futbol portekiz’de en populer spor dalidir.,1
adalar gol icinde bagimsizdir.,1
yeryuzundeki adalarin butunu on milyon kilometrekarelik bir yer kaplar.,1
bu noktada parlakligi su anki degerinin birkac bin kati olacaktir.,1
bu kesif tum dunyada yanki uyandirdi.,1
cismin yorungesi; atmosferi uzerinde buyuk bir etki yaratir.,1
gokyuzundeki gorunur hareketini tamamlamasi bir bucuk yili gecer.,1
asagidaki matematiksel tanimda bu kosullar siralanmistir.,1
bu surectede batinin kulturel merkezlerinden biri oldu.,0
gunumuzde siklikla bu iki method bir arada kullanilmaktadir.,1
tedavide kullanilan ilaclar iki gruba ayrilir.,1
halbuki pencere doneminin kisiden kisiye degisiklik gosterdigini vurgulamak gerekir.,1
uzun yillardir asi bulma calismalari surmesine ragmen henuz olumlu bir sonuc elde edilememistir.,1
bircok felemenk hala bolgelerindeki felemenk lehcesini konusur.,1
yapisi farkli kulturlerin bariscil bir sekilde bir arada yasamasi icin uzlasma yaratmasi amaciyla tasarlanmistir.,1
bilisim tarihinde uc adet tarayici savasi soz konusudur.,1
mozilla kisa surede bircok yeni ozellikle donatildi.,1
bu olumlerin cogu yenidogan doneminde meydana gelir.,1
farkli virusler yilin farkli donemlerinde cogunlukta olur.,1
"meme kanserinin icinde bulundugu evreye ""stage"" denir.",1
bu durum son yillarda tutun tuketiminin arttigi gelismekte olan ulkelerde belirgin bir sekilde izlenmektedir.,1
bu yontemler sirayla ve hekim denetiminde uygulanir.,1
bu yastan itibaren her on yilda risk yaklasik iki katina cikar.,1
bu bolge gunumuzde zazalar’in yasadigi yerleske alanlaridir.,1
bu etki amerika ile sinirli olmayip dunya capindadir.,1
ayrica ilac sanayisinde de kullanilmaktadir.,1
gida sanayisinde de bolca kullanir.,1
bitkilerde parazitik mantarlar hastaliklara neden olurlar.,1
her kumede diskin buyuklugune gore belli sayida sektorden olusur.,0
gida muhendisligi esas itibariyla ne sadece bir uretici muhendislik dalidir nede denetci dalidir.,0
gelismis ulkelerde emegin sermaye birikimini saglamada onemli bir katkisi olmustur.,1
gunumuzde hentbol ozellikle avrupa kitasinda buyuk ilgi cekmektedir.,1
i̇ki devre sonunda en cok gol kaydeden takim galip gelir.,1
kizil topraklar ise ulkenin en guneyinde ve guneybatisinda yer alir.,1
ulkede tarim cok kucuk oranda genelde ailelerin islettigi ciftliklerde yapilmaktadir.,1
bircok nobel odulude i̇svicreli bilim adamlarina verilmistir.,0
bu kulturler ulkenin dillerini ve kulturu onemli olcude etkiler.,1
ayrica bu donemde sanat alaninda da buyuk gelismeler kat edilmistir.,1
ozellikle kuzeydeki daglik alanlarda kislar cok soguk ve kar yagisli gecer.,1
ayrica ulkede bir miktar polonyali da yasar.,1
ulkedeki yeryuzu sekilleri bolgesine gore degismektedir.,1
eski bir baas partisi uyesidir ve i̇ngiliz vatandasidir.,1
agri dagi iki zirveden olusur.,1
kutsal kitaplarda da adi gecen agri daginin farkli dillerde bircok ismi vardir.,1
erciyes volkani’nda buzullasma iki ana ve uc tali vadide gelismistir.,1
erciyes’ide kalin bir buzul tabakasi kapladi.,0
kadikoy anadolu lisesini yarida birakmak zorunda kalmasinin temelinde de yine ayni sebep yatmaktadir.,1
murat devrinde tam anlamiyla osmanli devletine baglanmistir.,1
ayrica iki acisi birbirine esittir.,1
bazen sabahin erken saatlerinde koylu kadinlar ve cocuklar onun kapisinin onunde ayakta bekliyordu.,1
cehov ailesinin mallarini satmak ve egitimini bitirmek icin geride kaldi.,1
sokrates hakkindaki bilgiler baskalarinin araciligi ile gunumuze kadar gelmistir.,1
ayni secmen i̇lce belediye meclisi icinde oy kullanarak ilcelerin belediye meclisleri olusturur.,0
gunumuzde utku aniti ve anit parkta bunu simgelemektedir.,1
sade ve meyveli olarak dunyanin dort bir yanina ihrac edilmektedir.,1
ayni sekilde rusya da topraklarinda kolelige son vermistir.,1
bunda tip alanindaki gelismeler de etkili olmustur.,1
eglence alanlari yerleskenin her yerinde bulunmaktadir.,1
miyazaki time dergisinin yaptigi dunyanin en etkileyici insanlari listesinde yer almaktadir.,1
asagidaki bantlar uluslararasi yayin yapan kurumlara ayrilmistir.,1
"kimi yerlerde bu ay icin ""temmuz"" ayi gibi ""orak ayi"" dendigi de olur.",1
kulenin eminonu tarafi daha genisce olup burada birde sarnic vardir.,0
birde erkek adidir.,0
bu ayni zamanda genel okur yazarlik kurslari ilede desteklenmektedir.,0
elde edilen madde kesilir.,1
buradaki vurgu kisinin baskalari ile ve maddesel seylerle ozdeslesmis olmasidir.,1
geri dondugunde gorevi kabul etti.,1
teknikde degildir.,0
"buna ""teslim emri""de denir.",0
gunumuzde cesitli siyanur cesitleri farkli endustri kollarinda kullanilmaktadir.,1
demir celik sanayisinde calisti ve ekonomik konularda makaleler yazdi.,1
bunlarin da sagliga faydali olabilecekleri yonunde gittikce daha kesin isaretler vardir.,1
hayvanlarda amino asitler protein iceren besinlerin tuketilmesi yoluyla elde edilir.,1
bu turevler elektromanyetik dalgalarin turundeki alan yayilimi tahmini cok zordur.,1
"yakup kadri ve arkadaslarinin cikardigi ""yeni mecmua"" dergisinde ilk siirleri yayimlandi.",1
i̇l veya el sonu el veya il ile biten isimlerde gorulmeye devam etmektedir.,1
amazon yagmur ormanlarinda bazi yerli gruplari saman eylemlerinde bulunmaktadirlar.,1
yani trans halindeki samanin hicbir hal ve hareketi idrak ve iradesi disinda degildir.,1
en fazla uc adaya veya iki bilimsel calismaya verilir.,1
erzurum radyosu ve i̇zmir radyosu yine bu yil icerisinde yayin hayatlarina basladi.,1
sonraki sene televizyonda ilk kez bedava dunya gezisi adli yabanci dizi turkce seslendirildi.,1
"kir sehri zamanla halk dilinde ""kirsehir"" oldu.",1
dagin eteklerinde ise ormanlik alan vardir.,1
i̇zmir ekonomi universitesi ve dokuz eylul universitesi tip fakultesi ilce sinirlari icerisinde yer almaktadir.,1
i̇lcede i̇zmir metrosunun alti istasyonu mevcuttur.,1
i̇zmir sehirlerarasi otobus terminalide ilcede yer almaktadir.,0
"piaget teorisinin temelide ""denge prensibi"" olarak adlandirilan bu temele dayanir.",0
mesrutiyetin ilanindan sonra makedonya genel mufettisligi ve berlin askeri ataseligi gibi gorevlerde bulundu.,1
catismalarda bacagindan yaralanarak bir ay hastanede kaldi.,1
i̇nonu ayrica turkiye cumhuriyeti ve osmanli i̇mparatorlugu uzerindeki bilimsel calismalari ile bilinir.,1
beden egitimi dersinde basarisiz oldugu icin okulu askiya alindi.,1
aslinda iki organizasyon buyuk olcude ortusmektedir.,1
bilgisayar tarihindeki pek cok unlu tartisma bu yayinlarin sayfalarinda yer almistir.,1
turing odulu sahiplerinin ulkelere gore dagilimi asagidaki tabloda gosterilmektedir.,1
simdiye dek her kitada bir tane olacak sekilde yedi tapinak insa edilmistir.,1
amu derya irmaginin cok az bir kismi turkmenistan sinirlari icinde yer alir.,1
ulkede ozel televizyon yayini bulunmamaktadir.,1
andorra halki katalan soyundan gelen i̇talik bir etnik gruptur.,1
eger onlara bir guvence verilirse inaniyoruzki hepsi gelip teslim olur.,0
parti icinde dine karsi tolerans gosterilmesi bu yapinin uzantisidir.,1
anne ve baba olumu durdurmak icin herhangi bir mudahalede bulunmaz.,1
kartal turleri cok genis bir yelpazede dagilan yirtici kuslari kapsar.,1
estonya’daki devlet universiteleri ve ozel universitelerin sayisi ne cok az ne de cok fazladir.,1
ayrica sporcularin normalden daha fazla askorbik aside ihtiyaclari oldugu bildirilmistir.,1
bir kraterin boyutlari buyuk olabilir ve bazen derinligide cok fazla olabilir.,0
uluslararasi alanda faaliyet gosteren aktorler arasindaki iliskileri inceleyen bilim dalidir.,1
erzurum yuksek bir yaylanin guneybati bolumunde yer alir.,1
i̇lce sinirlari dahilinde erzurum organize sanayi bolgesi yer almaktadir.,1
yil icinde en cok yagis aralik ve ocak aylarinda yasanmaktadir.,1
siyasi partilerden tepki geldi.,1
romalilar da roma i̇mparatorlugu devrinde buraya yerlesti.,1
ulkede anadil olarak konusulan cok sayida diger diller de vardir.,1
sicak collerde toprakta organik madde miktari az olmasina karsin mineraller bol miktarda bulunur.,1
collerde yiyecek ve icecek sikintisi tahmin edilebilecegi gibi sik rastlanan bir durumdur.,1
ozbekce orta asya genelinde en cok konusulan turk dilidir.,1
daha sonra azerbaycan dili seklindeki adlandirma kabul edilmistir.,1
ancak yoksul ve zengin mahalleleri arasindaki kutuplasma fark ediliyordu.,1
yani sadece yogunlasmis bir yapi ve insan toplulugunun otesinde bir seydir.,1
ayrica felsefede pozitif dusunce uzerine de calisiyordu.,1
ogrenciler sekizinci sinifta sonraki iki yil icin ders secimlerini yaparlar.,1
universitede not sistemi harf sistemine gore islemektedir.,1
i̇kinci dunya savasindan sonra ulkelerin merkez bankasi uzerindeki etkisi daha da cogaldi.,1
ulkenin cesitli yerlerinde rumen kulturune bagli degisik alt kulturler bulunmaktadir.,1
bir kisinin ay yuzeyinde ne kadar kolay islem yapabilecegini arastirma gorevlerine basladilar.,1
temel parcaciklar arasindaki etkilesime temel etkilesimler denir.,1
dil yapisinda ufak degisiklikler oldugu gibi farkli olarak guclu bir editorude vardir.,0
bu yuzden ilk surumde program icindeki tum degiskenlerin onceden tanimlanmasi gerekiyordu.,1
ayrica python ve ruby arayuzleride mevcuttur.,0
kenarlara gore ozel dik ucgenler genelde okullarda soru yazilirken islem kolayligi saglamak amaciyla kullanilir.,1
bu model arasindaki iliskinin anlasilmasi guctu.,1
ekonomi biliminde bu duruma kitlik denir.,1
ekonomide talebin fiyat esnekligi en cok incelenen ve pratikte kullanilan esneklik turudur.,1
turkcede ayrica mal ve hizmet uretiminin gerceklestirildigi iktisadi birimler icin de kullanilmaktadir.,1
bu yarislar iki gun surer.,1
bu iki uzun iplik sarmasik gibi birbirine sarilarak bir cift sarmal olusturur.,1
o zamanki nobel odulleri ancak hayatta olan kisilere odulun verilmesine izin veriyordu.,1
bir fizik ve astronomi dersi ve odasinin acilmasi buyuk yanki uyandirdi.,1
okulun dis cephesi bu donemde hastane rengi olan sariya boyanmistir.,1
her bilim dali gibi sanat tarihininde baslica yararlandigi bilim dallari vardir.,0
sanat tarihcisi belirli sartlarin getirdigi durumlarin madde uzerindeki etkisini anlamak ister.,1
aynen insan ruhunun bedenin derinliklerinde bulunduguna olan genel inanc gibi.,1
ama genelde yedi kita olarak bilinir.,1
kisisel kayiplarina ragmen yinede siyasetin icinde yer aldi.,0
boylece iki okul da ayni kisinin idaresine girdi.,1
universite yonetim kurulu ve universite senatosu yonetimde en fazla soz sahibi olan birimlerdir.,1
gunumuzde latince olarak bilinir.,1
bir uygulamanin hizi istemci modunda zaman icinde bu nedenle degismez.,1
butun bu yaylalar yaz mevsiminde turistler tarafindan ziyaret edilir.,1
demiryolu agi ve hava limani sehirde mevcut degildir.,1
rize’nin guneyindeki kackar daglari ile yuksek daglarin eteklerinde birbiriyle baglantili bircok yayla vardir.,1
almanca icinde fransiz kelime kokenli sozcukler tasir.,1
cesitli dogu avrupa ulkelerinde almanca konusan azinliklar bulunmaktadir.,1
yenicag gazetesinde kose yazarligi yapmistir.,1
mecliste saltanat ve cumhuriyet tartismalarinin geride birakilmasinin ardindan i̇stiklal mahkemeleri icinde yer aldi.,1
turkiye cumhuriyeti’nin cekoslovakya’daki ilk elcisi oldu.,1
benzer sekilde bagimsiz adaylar da nadiren secilirler.,1
bu sayi son yillardaki gocmen sayisina benzer buyukluktedir.,1
"buradaki vejetaryen anlayisi modern ""vejetaryenlik""ten cok daha farklidir.",1
muzikli sahne eserleri alman sehirlerinde yer buldu.,1
ayrica es zamanli olarak suikasti duzenleyen ozel timin uyelerinin aileleride olduruldu.,0
bu donemde oldukca gelisen sehir en parlak donemlerini yasadi.,1
tarimdan sonraki en onemli sektoru devlet hizmetleri olusturmaktadir.,1
sentetik geometrinin tum problemleri bir kezde analitik olarak kanitlanmistir.,0
bu mac kulup icinde donum noktasi olmus ve zor gunler baslamistir.,0
denizde yunus avciligi yapiliyor ve yakalanan yunuslarin yagi cikarilarak disariya satiliyordu.,1
i̇lce ekonomisinde en buyuk payi cay alir.,1
cumhurbaskanligi doneminde bogazici koprusu acilarak hizmete girdi.,1
politik olarak ise eski varsova pakti ulkeleriyle iyi iliskiler kurmaya calisti.,1
cin ve guney korede etkinliklere katilmak icin savas gemilerini gonderdi.,0
karakterlerin her birinin kendilerine unicode tarafindan atanan bir kod noktasi vardir.,1
atmosfere giris ve inis sirasinda toplanan veriler gelecek uzay araclarinin tasarimina buyuk katki sagladi.,1
yinede sirketlerin bir miktar sermaye ortaya koymasi gerekmektedir.,0
sentez sirasindaki olaylarin karmasikligi bu arastirma alaninin son derece aktif kalmasini saglamistir.,1
ayrica patates ve yumurta uretiminde de adini duyurmustur.,1
sehirde afyon kocatepe universitesi ve afyonkarahisar saglik bilimleri universitesi olmak uzere iki universite bulunmaktadir.,1
murat nehri ve dogubayazit cevrelerine kisa surede yerlesmislerdir.,1
sehrin idaresinede sehzade celebi mehmed getirildi.,0
ayrica yusufeli ilcesinde zeytin ve pirinc tarimi yapilmaktadir.,1
evler dagin dik bir yamacina yan yana sirali bir sekilde kuruluydu.,1
sonra birlesik gurcistan kralligi icinde yer aldi.,1
bu yuzden ic kesimlerde kislar soguk ve kar yagisli gecmektedir.,1
buralarda turizmde gelismistir.,0
kadinlarin geleneksel kiyafetleride farklidir.,0
cumhuriyet doneminde sehirde bayindirlik faaliyetleri artmis ve bir ticaret merkezi niteligi kazanmistir.,1
bu donemde bilecik bitinya bolgesinin icinde yer alir.,1
karasal yerlerdeki yuksek daglarda yer yer karacam ve mese topluluklarina rastlanmaktadir.,1
i̇skender’in olumunu izleyen donemde bolu yoresinde bagimsiz bitinya kralligi kuruldu.,1
uc tepe uzerinde kurulmus olan sehir icte ve dista surlara sahipti.,1
sehrin kuzeyinde hali hisari bolgesinde bu surlarin kalintilari gorulebilmektedir.,1
bir yoruk kisisi ile pomak farkli bicimde geleneksel giysiler giyer.,1
yilin buyuk bolumu hemen her ilcede ruzgarli gunler yasanir.,1
"gunumuzde ""tip sembolu"" olarak kullanilmaktadir.",1
cankiri kalesi sehrin kuzeyinde kucuk bir tepe uzerinde yer aliyor.,1
cumhuriyet doneminde il merkezi haline getirilmistir.,1
i̇lave olarak hattusas oren yeride acik muze olup ziyaretcilere hizmet eder.,0
ayrica bunlardan baska bircok baska eserde sergilenmektedir.,0
bozkir bitki ortusu icinde otsu bitkiler daha fazladir.,1
roma i̇mparatorlugu doneminde askeri yerlesim alani olarak kullanilmistir.,1
abdulhamid devrinde yaptirilan karaagac tren i̇stasyonu gunumuzde trakya universitesi rektorluk binasi olarak kullanilir.,1
minaresi distan turbe ile mescidin tam orta kismina gelen bolumde yapilmistir.,1
oyunlar halay bolgesindeki diger oyunlara nazaran muzik ve oyun figurleri acisindan cesitli farkliliklar gosterir.,1
eskisehir’de ulasimi olmayan koy bulunmamaktadir.,1
aktas golu ise ilin dogu kesiminde yer alir.,1
bugunku ardahan kenti sinirlari icinde ve yakin cevresinde birkac tarihsel yapi kalintisi vardir.,1
osmanli doneminde bolge eyaleti olmustur.,1
selcuklular doneminde sivas yeniden gelisti.,1
sehirde karadeniz iklim tipi egemendir.,1
i̇lceye hakim bir tepede etkileyici mardin kalesi bulunur.,1
nevsehir kuzeyindeki kizildag ile birlesir.,1
bunun disinda meydanda yogun bir sivil kargo trafigide mevcuttur.,0
sanayi altyapisi cercevesinde kayseri serbest bolgesi de onemli bir yere sahiptir.,1
buna istinaden beldenin eski tarihinde medreseler beldesi olarak bilindigi rivayetler arasinda.,1
kars merkez ilcesi turkiye genelindeki gelismislik grubu icinde ucuncu gelismis ilceler grubunda yer almaktadir.,1
merkez ilce yedi ilce icinde sadece sarikamis ile komsu degildir.,1
birinci yerlesim tabakasinin ustunde orta tunc cagi yerlesimi yer aliyordu.,1
bu yangin ne yazikki kentin geleneksel alaninin dortte ucunu tahrip etmistir.,0
ote yandan i̇zmir mutfaginda i̇talyan ve fransiz etkileride hissedilir.,0
ayrica sehir merkezine yakin mesafede kayak merkezi bulunmaktadir.,1
sehrin bircok yerlerinde kutsal ocak yerleri bulunur.,1
bu donemde sehir kendi adina para basma yetkisine sahip olacak kadar gelismistir.,1
kalede yapilan arastirmalarda ortacag ve yakin doneme ait seramikler bulunmustur.,1
i̇lin tum ilcelerinde nufus azalmistir.,1
genelde muhendislik agirlikli yan bilim dallarinda ogrenim goren ogrencileri vardir.,1
kelkit vadisindeki kucuk bazi duzlukler ise ilin en onemli tarim alanlaridir.,1
ligde yer almaktadir.,1
bu kale antakya prensligi doneminde yorenin onemli kalelerinden biriydi.,1
fakat bazi koylerde telefon hatti mevcut degildir.,1
kentede kendi ulkelerinin adini yani isparta adini verdiler.,0
